unix_time,cmd_rpm,measured_rpm,i_dc_mv
1785368468.267,800,857,1809
1785368468.267,800,816,1809
1785368468.471,800,803,1808
1785368468.471,800,806,1808
1785368468.676,800,819,1808
1785368468.676,800,818,1808
1785368468.877,800,838,1808
1785368468.877,800,844,1809
1785368469.081,800,843,1809
1785368469.081,800,794,1808
1785368469.285,800,792,1807
1785368469.285,800,812,1808
1785368469.486,800,832,1808
1785368469.486,800,831,1808
1785368469.689,800,842,1808
1785368469.689,800,842,1809
1785368469.893,800,836,1808
1785368469.893,800,772,1808
1785368470.095,800,776,1808
1785368470.095,800,777,1808
1785368470.095,800,816,1808
1785368470.296,800,818,1808
1785368470.296,800,803,1808
1785368470.500,800,804,1808
1785368470.500,800,804,1808
1785368470.703,800,805,1808
1785368470.703,800,804,1808
1785368470.904,800,808,1808
1785368470.905,800,829,1808
1785368471.109,800,830,1808
1785368471.109,800,822,1808
1785368471.311,800,818,1808
1785368471.311,800,816,1808
1785368471.513,800,779,1808
1785368471.513,800,777,1807
1785368471.717,800,823,1808
1785368471.717,800,845,1809
1785368471.920,800,845,1808
1785368471.920,800,795,1808
1785368472.123,800,790,1808
1785368472.123,800,820,1809
1785368472.326,800,845,1809
1785368472.326,800,843,1809
1785368472.528,800,809,1808
1785368472.528,800,805,1808
1785368472.730,800,808,1808
1785368472.730,800,819,1808
1785368472.933,800,817,1809
1785368472.933,800,807,1808
1785368473.134,800,803,1809
1785368473.134,800,808,1809
1785368473.336,800,832,1809
1785368473.336,800,831,1808
1785368473.538,800,798,1808
1785368473.538,800,789,1808
1785368473.739,800,789,1808
1785368473.739,800,819,1808
1785368473.943,800,818,1808
1785368473.943,800,819,1808
1785368474.145,800,777,1808
1785368474.145,800,777,1807
1785368474.350,1600,785,1808
1785368474.350,1600,819,1808
1785368474.553,1600,818,1812
1785368474.553,1600,1520,1821
1785368474.756,1600,1498,1823
1785368474.756,1600,1519,1826
1785368474.957,1600,1600,1829
1785368474.957,1600,1655,1831
1785368475.159,1600,1654,1833
1785368475.159,1600,1630,1833
1785368475.362,1600,1627,1833
1785368475.362,1600,1644,1834
1785368475.567,1600,1658,1835
1785368475.567,1600,1626,1834
1785368475.770,1600,1580,1833
1785368475.770,1600,1556,1832
1785368475.974,1600,1583,1833
1785368475.974,1600,1625,1834
1785368476.177,1600,1634,1834
1785368476.177,1600,1612,1834
1785368476.380,1600,1608,1833
1785368476.380,1600,1604,1833
1785368476.582,1600,1604,1833
1785368476.582,1600,1603,1833
1785368476.785,1600,1602,1833
1785368476.785,1600,1603,1833
1785368476.990,1600,1604,1833
1785368476.990,1600,1604,1833
1785368477.192,1600,1604,1833
1785368477.192,1600,1604,1833
1785368477.394,1600,1604,1833
1785368477.394,1600,1604,1833
1785368477.595,1600,1603,1833
1785368477.595,1600,1603,1833
1785368477.797,1600,1604,1833
1785368477.797,1600,1603,1833
1785368478.000,1600,1603,1833
1785368478.000,1600,1616,1833
1785368478.202,1600,1620,1833
1785368478.202,1600,1619,1834
1785368478.406,1600,1611,1833
1785368478.406,1600,1605,1833
1785368478.608,1600,1609,1833
1785368478.608,1600,1620,1834
1785368478.812,1600,1621,1833
1785368478.812,1600,1621,1834
1785368479.014,1600,1622,1833
1785368479.015,1600,1617,1833
1785368479.216,1600,1609,1833
1785368479.216,1600,1603,1833
1785368479.420,1600,1603,1833
1785368479.420,1600,1604,1833
1785368479.624,1600,1602,1833
1785368479.625,1600,1605,1833
1785368479.625,1600,1603,1833
1785368479.825,1600,1605,1833
1785368479.825,1600,1604,1833
1785368480.027,1600,1603,1833
1785368480.027,1600,1614,1833
1785368480.229,1600,1622,1833
1785368480.229,1600,1622,1833
1785368480.433,1600,1622,1833
1785368480.433,1600,1622,1833
1785368480.636,1600,1616,1833
1785368480.636,1600,1608,1833
1785368480.840,1600,1605,1833
1785368480.840,1600,1603,1833
1785368481.041,1600,1603,1833
1785368481.041,1600,1602,1833
1785368481.244,1600,1604,1833
1785368481.244,1600,1603,1833
1785368481.448,1600,1623,1833
1785368481.448,1600,1636,1834
1785368481.648,1600,1628,1834
1785368481.648,1600,1603,1833
1785368481.851,1600,1591,1833
1785368481.851,1600,1596,1833
1785368482.055,1600,1599,1833
1785368482.055,1600,1604,1833
1785368482.260,1600,1604,1832
1785368482.260,1600,1603,1833
1785368482.475,1600,1609,1833
1785368482.475,1600,1618,1833
