iso_time,session_id,fixture_state,valid_for_classifier,condition,severity,speed_setpoint_rpm,label,t_ms,rpm,ripple_permil,min_us,max_us,hall,illegal,edges,step,coast_ms,accel_rms_g,accel_pk_g,temp_motor_c,temp_ambient_c,i_u_a,i_v_a,i_w_a,i_dc_a,modbus_rpm,modbus_fault
2026-06-20T13:18:04.388061+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,76201,1696,291,1251,1680,4,0,29756,9,0,,,,,,,,,,
2026-06-20T13:18:04.482065+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,76301,1694,288,1253,1678,6,0,29823,9,0,,,,,,,,,,
2026-06-20T13:18:04.622754+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,76401,1695,284,1263,1682,3,0,29891,9,0,,,,,,,,,,
2026-06-20T13:18:04.715578+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,76501,1695,282,1263,1680,5,0,29959,9,0,,,,,,,,,,
2026-06-20T13:18:04.808526+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,76601,1696,291,1251,1680,6,0,30027,9,0,,,,,,,,,,
2026-06-20T13:18:04.899945+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,76701,1695,287,1254,1678,3,0,30095,9,0,,,,,,,,,,
2026-06-20T13:18:04.994185+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,76801,1697,286,1253,1675,1,0,30162,9,0,,,,,,,,,,
2026-06-20T13:18:05.086739+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,76901,1695,287,1255,1679,4,0,30230,9,0,,,,,,,,,,
2026-06-20T13:18:05.181119+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,77001,1696,284,1257,1676,2,0,30298,9,0,,,,,,,,,,
2026-06-20T13:18:05.322741+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,77101,1694,284,1253,1673,1,0,30366,9,0,,,,,,,,,,
2026-06-20T13:18:05.413726+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,77201,1696,287,1253,1677,4,0,30434,9,0,,,,,,,,,,
2026-06-20T13:18:05.507839+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,77301,1694,287,1253,1677,6,0,30501,9,0,,,,,,,,,,
2026-06-20T13:18:05.602856+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,77401,1694,285,1261,1682,3,0,30569,9,0,,,,,,,,,,
2026-06-20T13:18:05.695996+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,77501,1695,282,1255,1671,5,0,30637,9,0,,,,,,,,,,
2026-06-20T13:18:05.790242+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,77601,1695,284,1259,1679,6,0,30705,9,0,,,,,,,,,,
2026-06-20T13:18:05.883488+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,77701,1694,286,1255,1678,3,0,30773,9,0,,,,,,,,,,
2026-06-20T13:18:06.024739+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,77801,1695,287,1258,1682,5,0,30841,9,0,,,,,,,,,,
2026-06-20T13:18:06.116599+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,77901,1696,281,1256,1670,4,0,30908,9,0,,,,,,,,,,
2026-06-20T13:18:06.210514+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,78001,1692,287,1259,1684,2,0,30976,9,0,,,,,,,,,,
2026-06-20T13:18:06.302754+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,78101,1695,290,1254,1682,1,0,31044,9,0,,,,,,,,,,
2026-06-20T13:18:06.396616+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,78201,1697,284,1256,1675,4,0,31112,9,0,,,,,,,,,,
2026-06-20T13:18:06.490406+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,78301,1696,281,1260,1675,2,0,31180,9,0,,,,,,,,,,
2026-06-20T13:18:06.599691+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,78401,1696,286,1253,1675,3,0,31247,9,0,,,,,,,,,,
2026-06-20T13:18:06.694035+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,78501,1694,280,1265,1678,5,0,31315,9,0,,,,,,,,,,
2026-06-20T13:18:06.787967+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,78601,1696,291,1251,1680,6,0,31383,9,0,,,,,,,,,,
2026-06-20T13:18:06.883134+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,78701,1695,288,1253,1678,3,0,31451,9,0,,,,,,,,,,
